"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","3039"
">","THREAD_COUNT:","0"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","-374.8146481424097"
">","EXTENTS_TOP:","-208.5408743297658"
">","EXTENTS_RIGHT:","374.8146481424097"
">","EXTENTS_BOTTOM:","208.54087432976578"
">","EXTENTS_WIDTH:","749.6292962848194"
">","EXTENTS_HEIGHT:","417.0817486595316"
">","COMMAND_JUMP","4"
">","COMMAND_STITCH","3034"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","name","BN"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#000000","Black","Anchor","403","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","188","STITCH","-259.79257074865984","-136.1007584364035"
"*","189","STITCH","-298.64574340885304","-143.22545906038675"
"*","190","STITCH","-336.5954829872047","-154.04866271707036"
"*","191","STITCH","-363.95569639786015","-151.48926171081416"
"*","192","STITCH","-372.27563413180786","-143.75648086385303"
"*","193","STITCH","-362.25292680609476","-167.47352522971252"
"*","194","STITCH","-333.3617822246178","-190.52243021878905"
"*","195","STITCH","-299.2874789337387","-198.94518161770367"
"*","196","STITCH","-253.50417168186334","-192.32592460829588"
"*","197","STITCH","-209.00012402525064","-180.0058209659122"
"*","198","STITCH","-180.95662295443933","-179.16373702734938"
"*","199","STITCH","-164.81697152189636","-186.46101291233677"
"*","200","STITCH","-179.5457371060471","-161.97614645047327"
"*","201","STITCH","-212.69751385208647","-140.1354441980248"
"*","202","STITCH","-250.4246218408624","-133.00860476309737"
"*","203","STITCH","-293.761300894447","-139.3295953416553"
"*","204","STITCH","-335.8412322689333","-151.29382891840476"
"*","205","STITCH","-362.6220398474131","-149.3288912135605"
"*","206","STITCH","-374.8146481424097","-139.0300662201725"
"*","207","STITCH","-367.76587690217457","-164.09994468216763"
"*","208","STITCH","-340.8393163261623","-189.30498588310036"
"*","209","STITCH","-306.66048063000716","-200.96375527602652"
"*","210","STITCH","-259.29367496300375","-196.3978470704172"
"*","211","STITCH","-226.60229639573978","-187.33505418626888"
"*","212","STITCH","-193.4580901005878","-180.10847189510207"
"*","213","STITCH","-168.07418416152572","-187.6194879021126"
"*","214","STITCH","-161.7106232802764","-190.45337221955748"
"*","215","STITCH","-172.18817903061083","-166.56627145673824"
"*","216","STITCH","-201.8694158525312","-142.4807233838107"
"*","217","STITCH","-230.2401064154815","-132.29819875857956"
"*","218","STITCH","-260.05913475426803","-131.1021652952508"
"*","219","STITCH","-295.69828953011194","-137.2275028714373"
"*","220","STITCH","-330.3880393758787","-147.3361629671349"
"*","221","STITCH","-357.90882339290624","-148.31116778179353"
"*","222","STITCH","-365.4639255418349","-145.2147364643598"
"*","223","STITCH","-361.68637446737057","-146.76295212307667"
"*","224","STITCH","-357.90882339290624","-148.31116778179353"
"*","225","STITCH","-361.68637446737057","-146.76295212307667"
"*","226","STITCH","-365.4639255418349","-145.2147364643598"
"*","227","JUMP","-298.4812833774691","-89.14582583002314"
"*","228","STITCH","-298.4812833774691","-89.14582583002314"
"*","229","STITCH","-290.9859051493542","-88.88256698876258"
"*","230","STITCH","-283.49052692123934","-88.61930814750204"
"*","231","STITCH","-290.9859051493542","-88.88256698876258"
"*","232","STITCH","-298.4812833774691","-89.14582583002314"
"*","233","STITCH","-279.6253284196075","-88.48355146547564"
"*","234","STITCH","-262.61036060422816","-96.63686255166202"
"*","235","STITCH","-248.63347805510358","-108.85867289145791"
"*","236","STITCH","-240.1178881777824","-125.05742614279859"
"*","237","STITCH","-240.1178881777824","-117.81437190772708"
"*","238","STITCH","-256.75849629021377","-100.64692887075964"
"*","239","STITCH","-272.8398914032167","-82.95456735678884"
"*","240","STITCH","-280.85868318427595","-60.43749880991405"
"*","241","STITCH","-280.7774684608513","-36.56420738084353"
"*","242","STITCH","-286.8159063647047","-13.477698235260334"
"*","243","STITCH","-282.90754444654226","10.048061475100354"
"*","244","STITCH","-279.2186678574983","33.5648337816246"
"*","245","STITCH","-278.4929327739055","57.11828457346823"
"*","246","STITCH","-262.1199512475188","74.17986948171975"
"*","247","STITCH","-247.6178881777824","92.77235156576481"
"*","248","STITCH","-247.6178881777824","78.95512566976751"
"*","249","STITCH","-247.6178881777824","28.95512566976754"
"*","250","STITCH","-247.6178881777824","-21.04487433023246"
"*","251","STITCH","-247.6178881777824","-71.04487433023246"
"*","252","STITCH","-247.6178881777824","-121.04487433023246"
"*","253","STITCH","-247.6178881777824","-122.92163794734552"
"*","254","STITCH","-255.1178881777824","-120.20619476078382"
"*","255","STITCH","-255.1178881777824","-108.54487433023249"
"*","256","STITCH","-255.1178881777824","-58.54487433023249"
"*","257","STITCH","-255.1178881777824","-8.544874330232489"
"*","258","STITCH","-255.1178881777824","41.45512566976748"
"*","259","STITCH","-255.1178881777824","91.45512566976751"
"*","260","STITCH","-255.1178881777824","109.50087701610417"
"*","261","STITCH","-262.61788817778245","120.02175471518231"
"*","262","STITCH","-262.61788817778245","103.95512566976751"
"*","263","STITCH","-262.61788817778245","53.95512566976751"
"*","264","STITCH","-262.61788817778245","3.955125669767483"
"*","265","STITCH","-262.61788817778245","-46.04487433023252"
"*","266","STITCH","-262.61788817778245","-96.04487433023252"
"*","267","STITCH","-262.61788817778245","-116.95225474986763"
"*","268","STITCH","-270.1178881777824","-112.93829493065573"
"*","269","STITCH","-270.1178881777824","-83.54487433023247"
"*","270","STITCH","-270.1178881777824","-33.54487433023249"
"*","271","STITCH","-270.1178881777824","16.45512566976754"
"*","272","STITCH","-270.1178881777824","66.45512566976751"
"*","273","STITCH","-270.1178881777824","116.45512566976751"
"*","274","STITCH","-270.1178881777824","127.87723112125465"
"*","275","STITCH","-277.6178881777824","134.6295386292243"
"*","276","STITCH","-277.6178881777824","128.9551256697675"
"*","277","STITCH","-277.6178881777824","78.95512566976751"
"*","278","STITCH","-277.6178881777824","28.95512566976751"
"*","279","STITCH","-277.6178881777824","-21.044874330232517"
"*","280","STITCH","-277.6178881777824","-71.04487433023249"
"*","281","STITCH","-277.6178881777824","-108.21506731080451"
"*","282","STITCH","-285.1178881777824","-102.59052805252645"
"*","283","STITCH","-285.1178881777824","-58.54487433023249"
"*","284","STITCH","-285.1178881777824","-8.544874330232489"
"*","285","STITCH","-285.1178881777824","41.45512566976748"
"*","286","STITCH","-285.1178881777824","91.45512566976751"
"*","287","STITCH","-285.1178881777824","140.3349340682603"
"*","288","STITCH","-292.61788817778245","145.03959461995058"
"*","289","STITCH","-292.61788817778245","103.95512566976757"
"*","290","STITCH","-292.6178881777824","53.95512566976757"
"*","291","STITCH","-292.6178881777824","3.9551256697675683"
"*","292","STITCH","-292.6178881777824","-46.04487433023246"
"*","293","STITCH","-292.6178881777824","-95.76871885468982"
"*","294","STITCH","-300.1200710271783","-85.0152060738775"
"*","295","STITCH","-307.6222508488527","-74.26169763295437"
"*","296","STITCH","-302.3502610217326","-53.95261174996415"
"*","297","STITCH","-302.9754318363856","-32.983066333491195"
"*","298","STITCH","-314.08537984633966","-15.239496827652317"
"*","299","STITCH","-332.52442701691973","-5.743956302307993"
"*","300","STITCH","-352.6178881777824","-7.749773676889589"
"*","301","STITCH","-352.6178881777824","3.9551256697675115"
"*","302","STITCH","-352.6178881777824","30.525476109998635"
"*","303","STITCH","-345.1178881777824","42.40826668934301"
"*","304","STITCH","-345.1178881777824","-8.544874330232489"
"*","305","STITCH","-345.1178881777824","-19.98077266248194"
"*","306","STITCH","-337.6178881777824","-26.31821289324651"
"*","307","STITCH","-337.6178881777824","-21.044874330232517"
"*","308","STITCH","-337.6178881777824","28.955125669767483"
"*","309","STITCH","-337.6178881777824","50.1234396690393"
"*","310","STITCH","-330.1319010633224","38.617904338575414"
"*","311","STITCH","-330.1178881777824","16.45512566976754"
"*","312","STITCH","-330.1178881777824","-30.196965301164056"
"*","313","STITCH","-322.6178881777824","-32.569449592957"
"*","314","STITCH","-322.6178881777824","3.9551256697675115"
"*","315","STITCH","-322.6178881777824","35.01355719992753"
"*","316","STITCH","-312.54894087807804","33.10845386265251"
"*","317","STITCH","-307.6341512662806","35.50400082308741"
"*","318","STITCH","-300.5188234757657","35.75981785655563"
"*","319","STITCH","-303.1063088282712","59.97046408024542"
"*","320","STITCH","-300.0289077336291","84.1132016483908"
"*","321","STITCH","-302.885088136059","108.26607578063889"
"*","322","STITCH","-305.8570465899828","132.39045720868629"
"*","323","STITCH","-315.11788817778245","154.36158145737662"
"*","324","STITCH","-315.11788817778245","149.7167395966483"
"*","325","STITCH","-303.12866757254267","130.22872148396064"
"*","326","STITCH","-301.2968240979251","107.42151679003351"
"*","327","STITCH","-299.4324086730036","84.67543181691363"
"*","328","STITCH","-300.5996752757339","61.88396750596198"
"*","329","STITCH","-300.50205422134013","39.07473187157271"
"*","330","STITCH","-310.422114457882","28.273450017105887"
"*","331","STITCH","-315.1178881777824","33.46049589952105"
"*","332","STITCH","-315.1178881777824","-8.544874330232489"
"*","333","STITCH","-315.1178881777824","-34.33832581544601"
"*","334","STITCH","-312.84501787829595","-55.33906010467024"
"*","335","STITCH","-307.6178881777824","-74.27202339073469"
"*","336","STITCH","-307.6178881777824","-71.04487433023249"
"*","337","STITCH","-307.6178881777824","-21.044874330232517"
"*","338","STITCH","-307.6178881777824","28.95512566976751"
"*","339","STITCH","-307.6178881777824","78.95512566976751"
"*","340","STITCH","-307.61788817778245","128.9551256697675"
"*","341","STITCH","-307.61788817778245","151.911214753603"
"*","342","STITCH","-300.1178881777824","148.86960665258957"
"*","343","STITCH","-300.1178881777824","116.45512566976751"
"*","344","STITCH","-300.1178881777824","66.45512566976751"
